Academic Year	UoS Code	Uos Name	Session	Delivery Mode	Campus
2019	AGRO4006	New and Emerging Tech in Animal Science	Semester 1 (S1C)	ND - Normal Daytime	CF - Camden Farms	 Thu 10:00-12:30 [wks 1 to 5, 7 to 13] @ Camden General Teaching Building | 
2019	AMME1362	Materials 1	Semester 2 (S2C)	ND - Normal Daytime	CC - Camperdown/Darlington, Sydney	 Wed 10:00-11:00 [wks 1 to 2] @ Abercrombie Business School |  Wed 10:00-11:00 [wks 3 to 13] @ Eastern Avenue Complex |  Thu 12:00-13:00 [wks 1 to 13] @ Eastern Avenue Complex |  Fri 09:00-10:00 [wks 1 to 13] @ Eastern Avenue Complex | 
2019	AMME2000	Engineering Analysis	Semester 1 (S1C)	ND - Normal Daytime	CC - Camperdown/Darlington, Sydney	 Tue 09:00-10:00 [wks 1 to 13] @ Eastern Avenue Complex |  Thu 12:00-13:00 [wks 1 to 13] @ Abercrombie Business School | 
2019	AMME2200	Introductory Thermofluids	Semester 2 (S2C)	ND - Normal Daytime	CC - Camperdown/Darlington, Sydney	 Tue 11:00-12:00 [wks 1 to 13] @ Civil & Mining Engineering |  Fri 11:00-12:00 [wks 1 to 13] @ Civil & Mining Engineering | 
2019	AMME2261	Fluid Mechanics 1	Semester 1 (S1C)	ND - Normal Daytime	CC - Camperdown/Darlington, Sydney	 Tue 12:00-13:00 [wks 1 to 13] @ Abercrombie Business School |  Thu 09:00-10:00 [wks 1 to 13] @ Merewether | 
2019	AMME2262	Thermal Engineering 1	Semester 2 (S2C)	ND - Normal Daytime	CC - Camperdown/Darlington, Sydney	 Tue 09:00-10:00 [wks 1 to 13] @ Institute |  Wed 09:00-10:00 [wks 1 to 13] @ New Law Annexe |  Thu 09:00-10:00 [wks 1 to 13] @ Merewether | 
2019	AMME2301	Mechanics of Solids	Semester 2 (S2C)	ND - Normal Daytime	CC - Camperdown/Darlington, Sydney	 Tue 12:00-13:00 [wks 1 to 13] @ Merewether |  Wed 12:00-13:00 [wks 1, 3] @ Seymour Centre |  Wed 12:00-13:00 [wks 2] @ Seymour Centre |  Wed 12:00-13:00 [wks 4 to 13] @ Abercrombie Business School |  Fri 12:00-13:00 [wks 1 to 13] @ Merewether | 
2019	AMME2500	Engineering Dynamics	Semester 1 (S1C)	ND - Normal Daytime	CC - Camperdown/Darlington, Sydney	 Mon 09:00-10:00 [wks 1, 3 to 8, 12] @ Seymour Centre |  Mon 09:00-10:00 [wks 2, 9 to 11, 13] @ Seymour Centre |  Wed 09:00-11:00 [wks 1 to 13] @ Merewether | 
2019	AMME2700	Instrumentation	Semester 1 (S1C)	ND - Normal Daytime	CC - Camperdown/Darlington, Sydney	 Wed 12:00-13:00 [wks 1 to 13] @ Peter Nicol Russell |  Fri 11:00-12:00 [wks 1 to 7, 9 to 13] @ Peter Nicol Russell | 
2019	AMME3060	Engineering Methods	Semester 2 (S2C)	ND - Normal Daytime	CC - Camperdown/Darlington, Sydney	 Wed 09:00-10:00 [wks 1 to 13] @ Merewether |  Thu 09:00-10:00 [wks 1 to 13] @ Peter Nicol Russell | 
2019	AMME3500	System Dynamics and Control	Semester 1 (S1C)	ND - Normal Daytime	CC - Camperdown/Darlington, Sydney	 Tue 09:00-11:00 [wks 1, 3 to 8, 12] @ Seymour Centre |  Tue 09:00-11:00 [wks 2, 9 to 11, 13] @ Seymour Centre | 
2019	AMME4710	Computer Vision and Image Processing	Semester 2 (S2C)	ND - Normal Daytime	CC - Camperdown/Darlington, Sydney	 Tue 09:00-11:00 [wks 1 to 13] @ Mechanical Engineering | 
2019	AMME5060	Advanced Computational Engineering	Semester 2 (S2C)	ND - Normal Daytime	CC - Camperdown/Darlington, Sydney	 Tue 10:00-12:00 [wks 1 to 13] @ Wilkinson | 
2019	AMME5101	Energy and the Environment	Semester 1 (S1C)	ND - Normal Daytime	CC - Camperdown/Darlington, Sydney	 Wed 11:00-13:00 [wks 1 to 13] @ Chemical Engineering | 
2019	AMME5104	Applied Safety Systems and Risk Analysis	Semester 1 (S1C)	ND - Normal Daytime	CC - Camperdown/Darlington, Sydney	 Thu 12:00-14:00 [wks 1 to 13] @ Civil & Mining Engineering | 
2019	AMME5105	Risk Management Analysis	Semester 1 (S1C)	ND - Normal Daytime	CC - Camperdown/Darlington, Sydney	 Mon 14:00-17:00 [wks 1 to 13] @ Peter Nicol Russell | 
2019	AMME5202	Computational Fluid Dynamics	Semester 1 (S1C)	ND - Normal Daytime	CC - Camperdown/Darlington, Sydney	 Tue 10:00-11:00 [wks 1 to 13] @ Mechanical Engineering | 
2019	AMME5271	Computational Nanotechnology	Semester 2 (S2C)	ND - Normal Daytime	CC - Camperdown/Darlington, Sydney	 Mon 14:00-16:00 [wks 1 to 8, 10 to 13] @ Civil & Mining Engineering | 
2019	AMME5292	Advanced Fluid Dynamics	Semester 1 (S1C)	ND - Normal Daytime	CC - Camperdown/Darlington, Sydney	 Thu 11:00-13:00 [wks 1 to 13] @ Storie Dixson | 
2019	AMME5310	Engineering Tribology	Semester 1 (S1C)	ND - Normal Daytime	CC - Camperdown/Darlington, Sydney	 Mon 11:00-13:00 [wks 1 to 13] @ Mechanical Engineering | 
2019	AMME5510	Vibration and Acoustics	Semester 2 (S2C)	ND - Normal Daytime	CC - Camperdown/Darlington, Sydney	 Mon 17:00-18:00 [wks 1 to 8, 10 to 13] @ Mechanical Engineering |  Thu 09:00-10:00 [wks 1 to 13] @ Mechanical Engineering | 
2019	AMME5520	Advanced Control and Optimisation	Semester 1 (S1C)	ND - Normal Daytime	CC - Camperdown/Darlington, Sydney	 Thu 09:00-11:00 [wks 1 to 13] @ Mechanical Engineering | 
2019	AMME5790	Introduction to Biomechatronics	Semester 2 (S2C)	ND - Normal Daytime	CC - Camperdown/Darlington, Sydney	 Thu 09:00-11:00 [wks 1 to 13] @ Chemical Engineering | 
2019	AMME5902	Computer Aided Manufacturing	Semester 2 (S2C)	ND - Normal Daytime	CC - Camperdown/Darlington, Sydney	 Tue 12:00-14:00 [wks 1 to 13] @ Mechanical Engineering | 
2019	AMME5912	Crash Analysis and Design	Semester 1 (S1C)	ND - Normal Daytime	CC - Camperdown/Darlington, Sydney	 Mon 14:00-16:00 [wks 1 to 13] @ Wilkinson | 
2019	AMME8501	System Dynamics and Control	Semester 1 (S1C)	ND - Normal Daytime	CC - Camperdown/Darlington, Sydney	 Tue 09:00-11:00 [wks 1, 3 to 8, 12] @ Seymour Centre |  Tue 09:00-11:00 [wks 2, 9 to 11, 13] @ Seymour Centre | 
2019	AMME8510	Vibration and Acoustics	Semester 2 (S2C)	ND - Normal Daytime	CC - Camperdown/Darlington, Sydney	 Mon 17:00-18:00 [wks 1 to 8, 10 to 13] @ Mechanical Engineering |  Thu 09:00-10:00 [wks 1 to 13] @ Mechanical Engineering | 
2019	AMME9261	Fluid Mechanics 1	Semester 1 (S1C)	ND - Normal Daytime	CC - Camperdown/Darlington, Sydney	 Tue 12:00-13:00 [wks 1 to 13] @ Abercrombie Business School |  Thu 09:00-10:00 [wks 1 to 13] @ Merewether | 
2019	AMME9262	Thermal Engineering 1	Semester 2 (S2C)	ND - Normal Daytime	CC - Camperdown/Darlington, Sydney	 Tue 09:00-10:00 [wks 1 to 13] @ Institute |  Wed 09:00-10:00 [wks 1 to 13] @ New Law Annexe |  Thu 09:00-10:00 [wks 1 to 13] @ Merewether | 
